City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
143,Geraldton,AU,2/7/2022 5:05,-28.7667,114.6,77.41,31,40,20.71,scattered clouds
144,Zhangjiakou,CN,2/7/2022 5:05,40.81,114.8794,24.42,33,100,3.96,overcast clouds
145,Ayr,GB,2/7/2022 5:05,55.4627,-4.6339,38.48,81,0,8.05,clear sky
146,Nemuro,JP,2/7/2022 5:05,43.3236,145.575,27.25,67,55,12.55,broken clouds
147,Pangoa,PE,2/7/2022 5:05,-12.1167,-73,67.23,89,100,2.62,overcast clouds
148,Kalmunai,LK,2/7/2022 5:05,7.4167,81.8167,81.54,72,67,12.37,broken clouds
149,Boshan,CN,2/7/2022 5:05,36.4833,117.8333,37.56,21,100,4.21,overcast clouds
150,Tepalcatepec,MX,2/7/2022 5:05,19.1833,-102.85,72.28,42,35,2.95,scattered clouds
151,Teknaf,BD,2/7/2022 5:05,20.8624,92.3058,74.39,38,42,10.85,scattered clouds
152,Puerto Carreno,CO,2/7/2022 5:05,6.189,-67.4859,81.05,60,69,0.47,broken clouds
153,Hammerfest,NO,2/7/2022 5:05,70.6634,23.6821,23.45,68,0,11.5,clear sky
154,Alofi,NU,2/7/2022 5:03,-19.0595,-169.9187,80.49,89,100,2.3,overcast clouds
155,Dolores,AR,2/7/2022 5:05,-36.3132,-57.6792,55.04,94,22,9.42,few clouds
156,Kemijarvi,FI,2/7/2022 5:05,66.7131,27.4306,19.89,93,100,7.74,overcast clouds
157,Nelson Bay,AU,2/7/2022 5:05,-32.7167,152.15,77.05,62,36,4,scattered clouds
158,Caconda,AO,2/7/2022 5:05,-13.7333,15.0667,57.61,71,100,2.75,light rain
159,Nikolskoye,RU,2/7/2022 5:05,59.7035,30.7861,35.87,97,100,7.16,light snow
160,Rocha,UY,2/7/2022 5:01,-34.4833,-54.3333,62.87,78,90,14.43,overcast clouds
161,Chuy,UY,2/7/2022 5:05,-33.6971,-53.4616,62.78,80,48,14.2,scattered clouds
162,Tam Ky,VN,2/7/2022 5:05,15.5667,108.4833,82.38,73,93,5.06,overcast clouds
163,Mayo,US,2/7/2022 5:03,38.8876,-76.5119,34.99,70,100,0,overcast clouds
164,Laguna,US,2/7/2022 5:05,38.421,-121.4238,56.34,76,0,4.61,clear sky
165,Amapa,BR,2/7/2022 5:05,1,-52,70.12,100,100,0.81,overcast clouds
166,Buldana,IN,2/7/2022 5:05,20.5333,76.1833,75.22,24,22,1.36,few clouds
167,Kendari,ID,2/7/2022 5:05,-3.945,122.4989,85.46,70,85,10.56,moderate rain
168,Uyuni,BO,2/7/2022 5:05,-20.4597,-66.825,51.28,67,82,6.11,broken clouds
169,Labytnangi,RU,2/7/2022 5:05,66.6572,66.4183,-19.5,100,100,1.54,overcast clouds
170,Hobyo,SO,2/7/2022 5:05,5.3505,48.5268,78.35,65,97,21.65,overcast clouds
171,Abaran,ES,2/7/2022 5:05,38.2055,-1.3991,48.29,84,0,3.96,clear sky
172,Glendive,US,2/7/2022 5:05,47.1053,-104.7125,37.49,69,0,14.97,clear sky
173,Marquette,US,2/7/2022 5:05,46.5333,-87.6335,16.34,79,100,7.7,overcast clouds
174,Tres Arroyos,AR,2/7/2022 5:03,-38.3739,-60.2798,53.6,89,3,3.53,clear sky
175,Norman Wells,CA,2/7/2022 5:03,65.282,-126.8329,-12.96,70,100,20.71,light snow
176,Klyuchi,RU,2/7/2022 5:05,52.2667,79.1667,12.58,73,2,8.48,clear sky
177,Shingu,JP,2/7/2022 5:05,33.7333,135.9833,45.91,36,63,9.44,broken clouds
178,Lata,PT,2/7/2022 5:05,40.1629,-8.3327,44.04,55,57,4.18,broken clouds
179,Upernavik,GL,2/7/2022 5:01,72.7868,-56.1549,-14.57,100,100,6.91,overcast clouds
180,Meiningen,DE,2/7/2022 5:05,50.5679,10.4152,37.08,78,81,16.49,broken clouds
181,Whitehorse,CA,2/7/2022 5:05,60.7161,-135.0538,29.01,93,99,7.56,overcast clouds
182,Rantepao,ID,2/7/2022 5:05,-2.9701,119.8978,78.62,81,96,2.75,light rain
183,Bethel,US,2/7/2022 5:05,41.3712,-73.414,29.05,84,100,0,overcast clouds
184,Sitka,US,2/7/2022 5:05,57.0531,-135.33,44.49,76,100,9.22,light rain
185,Touros,BR,2/7/2022 5:01,-5.1989,-35.4608,78.04,78,13,8.3,few clouds
186,Sola,VU,2/7/2022 5:01,-13.8833,167.55,82.2,80,100,21.88,moderate rain
187,Vestmannaeyjar,IS,2/7/2022 5:05,63.4427,-20.2734,37.29,96,100,64.13,overcast clouds
188,Outlook,CA,2/7/2022 5:05,51.5001,-107.0513,30.47,79,2,13.62,clear sky
189,Kodiak,US,2/7/2022 5:05,57.79,-152.4072,33.31,51,20,12.66,few clouds
190,Arona,ES,2/7/2022 5:05,28.0996,-16.681,60.75,64,0,3,clear sky
191,Clyde River,CA,2/7/2022 5:05,70.4692,-68.5914,-36.31,90,74,4.34,broken clouds
192,Gondanglegi,ID,2/7/2022 5:05,-7.7479,112.0132,81.09,85,100,11.36,overcast clouds
193,Shache,CN,2/7/2022 5:05,38.4167,77.2406,31.1,46,100,2.46,overcast clouds
194,Kailua,US,2/7/2022 5:02,21.4022,-157.7394,74.48,76,18,4,few clouds
195,Wanning,CN,2/7/2022 5:05,18.8003,110.3967,75.63,81,68,7.56,broken clouds
196,Lengshuijiang,CN,2/7/2022 5:05,27.6881,111.4294,36.19,90,99,3.96,overcast clouds
197,Brigantine,US,2/7/2022 5:05,39.4101,-74.3646,40.01,86,100,3.44,light snow
198,Ulaangom,MN,2/7/2022 5:01,49.9811,92.0667,-20.36,96,93,3.4,overcast clouds
199,Makakilo City,US,2/7/2022 5:01,21.3469,-158.0858,73,74,0,14.18,clear sky
200,Lazaro Cardenas,MX,2/7/2022 5:05,17.9583,-102.2,73.04,72,26,3.94,scattered clouds
201,Saldanha,ZA,2/7/2022 5:01,-33.0117,17.9442,62.38,97,37,7.47,scattered clouds
202,Macherla,IN,2/7/2022 5:05,16.4833,79.4333,81.52,51,60,7.56,broken clouds
203,Grand Gaube,MU,2/7/2022 5:05,-20.0064,57.6608,82.38,74,92,8.01,overcast clouds
204,Svetlaya,RU,2/7/2022 5:05,46.5389,138.3297,20.05,50,7,2.93,clear sky
205,Maniitsoq,GL,2/7/2022 5:05,65.4167,-52.9,3.38,84,100,11.56,overcast clouds
206,Mana,GF,2/7/2022 5:05,5.6592,-53.7767,77,88,100,6.71,overcast clouds
207,San Luis,AR,2/7/2022 5:05,-33.295,-66.3356,60.94,32,0,7.99,clear sky
208,Saint-Philippe,RE,2/7/2022 5:01,-21.3585,55.7679,81.99,82,95,15.52,overcast clouds
